kepid,koi_disposition,koi_period,koi_prad,koi_teq,koi_score,koi_steff,koi_srad,koi_insol,stellar_class,is_planet,transit_ratio
3351888,CONFIRMED,1.625522174,9.73,1579.0,1.0,5539.0,1.106,1467.41,G,1,2987.778375270567
3453214,CANDIDATE,19.620346923,13.6,643.0,1.0,5710.0,0.905,40.39,G,0,247.53384937891803
3554600,FALSE POSITIVE,7.544039,17.47,838.0,0.0,5657.0,0.824,116.46,G,0,42.76223916657907
3641726,CONFIRMED,9.02930689,2.57,757.0,1.0,5349.0,0.82,77.75,G,1,112.94333135685456
3734868,FALSE POSITIVE,10.328035714,13.28,843.0,0.053,5627.0,1.024,119.31,G,0,470.2443072903572
3832474,CONFIRMED,143.2063047,8.9,308.0,1.0,5485.0,0.867,2.14,G,1,33.91400965323561
8395660,CONFIRMED,6.164876,0.79,1021.0,0.95,5854.0,1.012,256.35,G,1,9.051276943769833
3832474,CONFIRMED,60.32494216,12.19,411.0,0.745,5485.0,0.867,6.77,G,1,80.5089872629892
3832474,CONFIRMED,29.1598615,1.91,524.0,0.0,5485.0,0.867,17.85,G,1,16.73533325938465
3836375,FALSE POSITIVE,1.540397253,25.69,1470.0,0.0,5663.0,0.915,1105.68,G,0,529.7983999975362
3838486,FALSE POSITIVE,2.99025443,1.7,918.0,0.0,4667.0,0.731,168.45,K,0,197.04008932778342
3935914,CONFIRMED,1.594745374,11.3,1539.0,1.0,5934.0,0.893,1329.42,G,1,3045.4391523445797
3940418,CONFIRMED,4.783002698,2.5,886.0,1.0,5170.0,0.807,145.48,K,1,210.8926261784852
4049131,CONFIRMED,20.50588921,3.41,518.0,1.0,4905.0,0.761,17.06,K,1,102.6778199393188
4139816,CONFIRMED,3.340218842,2.03,656.0,1.0,3950.0,0.493,43.73,K,1,488.7703702139645
5287983,FALSE POSITIVE,2.507089906,30.26,1326.0,0.0,5926.0,0.939,730.47,G,0,534.1651277822184
5358241,CONFIRMED,18.64932728,3.12,701.0,1.0,5775.0,1.053,57.13,G,1,47.915937480400096
10875245,CONFIRMED,4.90144976,1.7,1262.0,1.0,5847.0,1.402,598.74,G,1,28.705792549019208
5358241,CONFIRMED,9.75192101,2.76,870.0,0.998,5775.0,1.053,135.66,G,1,42.86334964889138
5358241,CONFIRMED,38.5576546,4.02,550.0,1.0,5775.0,1.053,21.71,G,1,25.753641146004767
5358624,CONFIRMED,3.525632539,11.58,975.0,0.99,5150.0,0.793,213.12,K,1,1377.540043176916
4544670,CANDIDATE,34.84398644,7.61,511.0,1.0,5509.0,0.871,16.1,G,0,129.82441052746546
4664847,CONFIRMED,7.748094239,5.52,964.0,1.0,5973.0,1.085,204.39,G,1,319.05910327686706
4725681,CONFIRMED,23.96793669,1.8,329.0,1.0,3747.0,0.524,2.77,K,1,49.328401325979975
4725681,CONFIRMED,8.29561738,1.82,469.0,0.995,3747.0,0.524,11.39,K,1,99.36572074639248
4913852,CONFIRMED,8.11437482,2.1,460.0,1.0,3692.0,0.517,10.55,M,1,192.0049337824402
4932348,FALSE POSITIVE,38.036729482,27.5,500.0,0.0,5575.0,0.932,14.81,G,0,127.68447934773994
4936180,CANDIDATE,4.64090031,30.09,1155.0,0.0,6463.0,0.826,421.08,F,0,528.0440940994916
11913073,FALSE POSITIVE,3.747838198,13.65,1031.0,0.0,5514.0,0.826,266.76,G,0,164.36141782447353
10875245,CONFIRMED,14.74914825,2.89,874.0,0.992,5847.0,1.402,137.91,G,1,29.167786010965074
5021899,CONFIRMED,21.81295996,3.38,639.0,1.0,5601.0,0.999,39.33,G,1,53.885396670393014
5077629,FALSE POSITIVE,7.91936937,10.34,814.0,0.0,5690.0,0.776,104.0,G,0,613.2685284762769
5115978,CANDIDATE,1.028436523,48.03,1947.0,0.0,6228.0,0.99,3158.4199999999996,F,0,4722.411049573352
5164255,CONFIRMED,15.37562369,11.01,600.0,1.0,4986.0,0.833,30.54,K,1,315.87011349391315
5252423,CONFIRMED,8.10363271,2.11,687.0,1.0,4861.0,0.732,52.82,K,1,109.56814453156528
