pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_logg,st_met,sy_dist,ra,dec,planet_type,habitable_zone,stellar_class,disc_decade,mass_radius_ratio
HD 145675 c,14 Her,Radial Velocity,2021,Multiple Observatories,122.6058548,12.6,711.74876796,823.0,0.8984999999999999,100.0,5338.0,0.93,0.97,4.45,0.43,17.9323,242.6021014,43.8163621,Gas Giant,0.0,G,2020.0,56.48799745714286
HD 145934 b,HD 145934,Radial Velocity,2015,W. M. Keck Observatory,122.6058548,13.4,658.5404593,823.0,0.8984999999999999,100.0,4823.75,2.9126400000000006,2.0180000000000002,3.011205,0.0951,227.881,243.2912249,13.2394527,Gas Giant,0.0,K,2010.0,49.144810395522384
HD 1461 b,HD 1461,Radial Velocity,2010,W. M. Keck Observatory,5.77152,2.42,6.44,823.0,0.0634,100.0,5765.0,1.152288,1.02,4.38,0.19,23.4534,4.6762645,-8.0536206,Neptune-like,0.0,G,2010.0,2.6611570247933884
HD 1461 c,HD 1461,Radial Velocity,2015,La Silla Observatory,13.5052,2.23,5.59,823.0,0.1117,100.0,5765.0,1.152288,1.02,4.38,0.19,23.4534,4.6762645,-8.0536206,Neptune-like,0.0,G,2010.0,2.506726457399103
HD 147018 b,HD 147018,Radial Velocity,2009,La Silla Observatory,44.236,13.4,674.0,823.0,0.2388,100.0,5441.0,0.937948,0.927,4.42,0.1,40.4256,245.7490012,-61.6901291,Gas Giant,0.0,G,2000.0,50.298507462686565
HD 147018 c,HD 147018,Radial Velocity,2009,La Silla Observatory,122.6058548,12.7,711.74876796,823.0,0.8984999999999999,100.0,5441.0,0.937948,0.927,4.42,0.1,40.4256,245.7490012,-61.6901291,Gas Giant,0.0,G,2000.0,56.04321007559056
HD 147379 b,HD 147379,Radial Velocity,2017,Calar Alto Observatory,86.58,4.94,21.6,823.0,0.3193,100.0,4090.0,0.628304,0.58,4.609,0.16,10.7643,244.1725686,67.2392041,Gas Giant,0.0,K,2010.0,4.37246963562753
HD 147513 b,HD 147513,Radial Velocity,2003,La Silla Observatory,122.6058548,13.7,385.0,823.0,0.8984999999999999,100.0,5883.0,0.98,1.11,4.51,0.06,12.9032,246.0057894,-39.1929661,Gas Giant,0.0,G,2000.0,28.1021897810219
HD 14787 b,HD 14787,Radial Velocity,2018,W. M. Keck Observatory,122.6058548,13.7,356.28743,823.0,0.8984999999999999,100.0,4946.0,2.9126400000000006,1.43,3.23,0.0,119.137,35.8085099,10.8367972,Gas Giant,0.0,K,2010.0,26.00638175182482
HD 147873 b,HD 147873,Radial Velocity,2016,Multiple Observatories,116.596,12.8,711.74876796,823.0,0.522,100.0,5972.0,2.29,1.38,3.86,0.03,109.055,246.4380471,-33.5672217,Gas Giant,0.0,G,2010.0,55.605372496875
HD 147873 c,HD 147873,Radial Velocity,2016,Multiple Observatories,122.6058548,13.3,711.74876796,823.0,0.8984999999999999,100.0,5972.0,2.29,1.38,3.86,0.03,109.055,246.4380471,-33.5672217,Gas Giant,0.0,G,2010.0,53.51494495939849
HD 148156 b,HD 148156,Radial Velocity,2009,La Silla Observatory,122.6058548,13.9,270.144,823.0,0.8984999999999999,100.0,6308.0,1.21,1.22,4.56,0.29,57.1289,247.0723035,-46.3175085,Gas Giant,0.0,F,2000.0,19.43482014388489
HD 148164 b,HD 148164,Radial Velocity,2018,W. M. Keck Observatory,122.6058548,13.7,390.9309,823.0,0.8984999999999999,100.0,6032.0,1.34,1.21,4.1581,0.24,77.1971,246.4351678,11.9190729,Gas Giant,0.0,F,2010.0,28.535102189781025
HD 148164 c,HD 148164,Radial Velocity,2018,W. M. Keck Observatory,122.6058548,12.8,711.74876796,823.0,0.8984999999999999,100.0,6032.0,1.34,1.21,4.1581,0.24,77.1971,246.4351678,11.9190729,Gas Giant,0.0,F,2010.0,55.605372496875
HD 149026 b,HD 149026,Radial Velocity,2005,Subaru Telescope,2.87589,8.29466,120.7754,1626.0,0.04364,675.7067999999999,6179.0,1.41,1.42,4.37,0.32,75.8643,247.6229827,38.3475349,Gas Giant,0.0,F,2000.0,14.560620929610135
HD 149143 b,HD 149143,Radial Velocity,2005,Haute-Provence Observatory,4.07182,13.6,422.7139,823.0,0.053,100.0,5856.0,1.44,1.2,4.25,0.29,73.2801,248.2126715,2.0844547,Gas Giant,0.0,G,2000.0,31.081904411764707
HD 149806 b,HD 149806,Radial Velocity,2022,Multiple Observatories,122.6058548,12.3,711.74876796,823.0,0.8984999999999999,100.0,5352.05,0.89,0.93,4.51,0.2206,20.2727,249.2855187,0.2546794,Gas Giant,0.0,G,2020.0,57.86575349268293
HD 150010 b,HD 150010,Radial Velocity,2022,Bohyunsan Optical Astronomical Observatory,122.6058548,13.3,711.74876796,823.0,0.8984999999999999,100.0,4153.0,2.9126400000000006,1.3,2.1,-0.25,144.49,247.8670682,72.6125804,Gas Giant,0.0,K,2020.0,53.51494495939849
HD 1502 b,HD 1502,Radial Velocity,2011,W. M. Keck Observatory,122.6058548,13.2,711.74876796,823.0,0.8984999999999999,100.0,4947.0,2.9126400000000006,1.46,3.18,0.09,190.953,4.8214389,14.054683,Gas Giant,0.0,K,2010.0,53.92036120909091
HD 150706 b,HD 150706,Radial Velocity,2012,Haute-Provence Observatory,122.6058548,13.3,711.74876796,823.0,0.8984999999999999,100.0,5961.0,0.96,1.17,4.5,-0.01,28.2697,247.8255687,79.7894032,Gas Giant,0.0,G,2010.0,53.51494495939849
HD 151450 b,HD 151450,Radial Velocity,2022,Multiple Observatories,21.89288,6.94,38.45723725,823.0,0.16,100.0,6091.98,1.17184,1.14,4.35724,0.016687125907561565,43.6002,252.0080127,-15.964345,Gas Giant,0.0,F,2020.0,5.541388652737751
HD 151450 c,HD 151450,Radial Velocity,2022,Multiple Observatories,122.6058548,12.8,711.74876796,823.0,0.8984999999999999,100.0,6091.98,1.17184,1.14,4.35724,0.016687125907561565,43.6002,252.0080127,-15.964345,Gas Giant,0.0,F,2020.0,55.605372496875
HD 152079 b,HD 152079,Radial Velocity,2009,Las Campanas Observatory,122.6058548,13.2,711.74876796,823.0,0.8984999999999999,100.0,5907.0,1.128,1.147,4.365,0.29,87.8888,253.3732313,-46.3333582,Gas Giant,0.0,G,2000.0,53.92036120909091
HD 152581 b,HD 152581,Radial Velocity,2011,W. M. Keck Observatory,122.6058548,13.4,594.02427,823.0,0.8984999999999999,100.0,5027.0,2.9126400000000006,1.3,3.29,-0.46,165.76,253.4316451,11.9736828,Gas Giant,0.0,K,2010.0,44.33016940298507
HD 152843 b,HD 152843,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),11.62071,3.05,9.82,1003.11,0.1049,265.4,6310.0,1.43,1.15,4.19,-0.16,107.898,253.7848853,20.491524,Neptune-like,0.0,F,2020.0,3.2196721311475414
HD 152843 c,HD 152843,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),19.502104,5.94,9.67,253.08,0.1482,133.1,6310.0,1.43,1.15,4.19,-0.16,107.898,253.7848853,20.491524,Gas Giant,0.0,F,2020.0,1.6279461279461278
HD 15337 b,HD 15337,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.7559804,1.77,6.519,1001.0,0.05245,404.5595,5131.0,0.855,0.829,4.48,0.03,44.8155,36.8678846,-27.6361171,Super-Earth,0.0,K,2010.0,3.6830508474576273
HD 15337 c,HD 15337,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),17.180546,2.526,6.792,656.1,0.1235,45.0685,5131.0,0.855,0.829,4.48,0.03,44.8155,36.8678846,-27.6361171,Neptune-like,0.0,K,2010.0,2.688836104513064
HD 153557 b,HD 153557,Radial Velocity,2022,Multiple Observatories,7.29903,4.77,20.34101805,823.0,0.068,100.0,4837.0,0.745171,0.79,4.59118,0.016687125907561565,17.9412,254.4706516,47.3678558,Gas Giant,0.0,K,2020.0,4.264364371069182
HD 153557 c,HD 153557,Radial Velocity,2022,Multiple Observatories,15.27018,4.36,17.48056238,823.0,0.111,100.0,4837.0,0.745171,0.79,4.59118,0.016687125907561565,17.9412,254.4706516,47.3678558,Gas Giant,0.0,K,2020.0,4.009303298165137
HD 153557 d,HD 153557,Radial Velocity,2022,Multiple Observatories,122.6058548,11.9,711.74876796,823.0,0.8984999999999999,100.0,4837.0,0.745171,0.79,4.59118,0.016687125907561565,17.9412,254.4706516,47.3678558,Gas Giant,0.0,K,2020.0,59.81082083697479
HD 153950 b,HD 153950,Radial Velocity,2008,La Silla Observatory,122.6058548,13.2,711.74876796,823.0,0.8984999999999999,100.0,6124.0,1.28,1.25,4.32,-0.01,48.4549,256.1292826,-43.3103753,Gas Giant,0.0,F,2000.0,53.92036120909091
HD 154088 b,HD 154088,Radial Velocity,2021,La Silla Observatory,18.56,2.46,6.6,823.0,0.134,100.0,5374.0,0.95,0.91,4.37,0.28,18.2692,256.1164214,-28.5838342,Neptune-like,0.0,G,2020.0,2.6829268292682924
